timestamp,gpu_temperature,resolution,fps,gpu_load,cpu_load
2026-02-04 18:04:02.389,49.25,640,0.00,0.0,0.0
2026-02-04 18:04:02.893,49.406,640,0.00,18.7,44.2
2026-02-04 18:04:03.397,49.656,640,0.00,9.1,28.8
2026-02-04 18:04:03.900,49.531,640,0.00,40.6,29.1
2026-02-04 18:04:04.403,49.437,640,0.00,39.5,27.6
2026-02-04 18:04:04.906,49.625,640,0.00,5.6,18.7
2026-02-04 18:04:05.410,49.687,640,0.00,30.6,14.6
2026-02-04 18:04:05.913,49.375,640,0.00,18.0,15.2
2026-02-04 18:04:06.417,49.687,640,0.00,11.0,15.2
2026-02-04 18:04:06.920,49.562,640,0.00,36.4,12.8
2026-02-04 18:04:07.423,49.5,640,0.00,54.5,11.6
2026-02-04 18:04:07.927,49.687,640,0.00,43.0,12.2
2026-02-04 18:04:08.430,49.468,640,0.00,57.7,12.8
2026-02-04 18:04:08.933,49.75,640,24.96,94.3,19.8
2026-02-04 18:04:09.437,50.343,640,27.52,65.8,27.2
2026-02-04 18:04:09.943,50.343,640,27.27,92.0,18.7
2026-02-04 18:04:10.447,50.25,640,25.87,88.4,20.1
2026-02-04 18:04:10.953,50.437,640,25.90,93.1,18.9
2026-02-04 18:04:11.457,50.25,640,25.99,89.3,19.2
2026-02-04 18:04:11.963,50.218,640,27.47,80.8,19.0
2026-02-04 18:04:12.466,50.718,640,25.63,89.8,18.4
2026-02-04 18:04:12.974,50.375,640,24.42,48.8,19.0
2026-02-04 18:04:13.477,50.75,640,25.67,68.0,20.5
2026-02-04 18:04:13.981,50.406,640,26.58,76.4,18.7
2026-02-04 18:04:14.484,50.937,640,26.00,54.3,18.8
2026-02-04 18:04:14.990,50.718,640,27.79,90.8,18.0
2026-02-04 18:04:15.493,50.687,640,23.38,88.9,19.5
2026-02-04 18:04:16.000,50.75,640,27.43,68.8,18.5
2026-02-04 18:04:16.504,50.75,640,25.63,89.0,18.5
2026-02-04 18:04:17.009,50.656,640,25.63,88.0,19.8
2026-02-04 18:04:17.515,51.093,640,25.83,62.9,19.1
2026-02-04 18:04:18.021,50.875,640,25.49,66.0,19.8
2026-02-04 18:04:18.525,51.156,640,26.96,68.7,19.5
2026-02-04 18:04:19.032,51.125,640,25.87,92.3,19.4
2026-02-04 18:04:19.537,51.156,640,25.82,81.7,18.2
2026-02-04 18:04:20.044,51.062,640,23.84,62.7,19.1
2026-02-04 18:04:20.549,51.25,640,25.35,65.5,19.1
2026-02-04 18:04:21.055,51.031,640,27.04,76.2,18.5
2026-02-04 18:04:21.561,51.343,640,25.82,54.7,19.1
2026-02-04 18:04:22.067,51.312,640,25.86,58.4,19.3
2026-02-04 18:04:22.572,51.468,640,23.16,85.3,18.5
2026-02-04 18:04:23.079,51.156,640,25.47,90.2,18.8
2026-02-04 18:04:23.583,51.25,640,25.21,57.1,19.3
2026-02-04 18:04:24.089,51.375,640,26.59,87.6,19.4
2026-02-04 18:04:24.592,51.25,640,25.37,86.2,19.2
2026-02-04 18:04:25.098,51.687,640,24.62,91.2,20.3
2026-02-04 18:04:25.602,51.312,640,23.64,93.3,19.2
2026-02-04 18:04:26.108,51.375,640,24.59,94.1,19.9
2026-02-04 18:04:26.612,51.656,640,25.07,94.7,18.5
2026-02-04 18:04:27.118,51.437,640,24.57,59.4,18.5
2026-02-04 18:04:27.622,51.625,640,23.70,53.9,19.5
2026-02-04 18:04:28.128,51.531,640,25.03,85.1,19.2
2026-02-04 18:04:28.633,51.687,640,24.69,88.4,19.5
2026-02-04 18:04:29.140,51.812,640,24.19,87.1,19.1
2026-02-04 18:04:29.643,51.5,640,25.74,87.3,19.3
2026-02-04 18:04:30.149,52.062,640,25.73,56.3,19.1
2026-02-04 18:04:30.654,51.625,640,25.80,81.3,18.4
2026-02-04 18:04:31.160,52.031,640,26.77,78.2,19.1
2026-02-04 18:04:31.664,51.843,640,22.57,67.4,18.7
2026-02-04 18:04:32.173,51.75,640,24.40,84.7,18.9
2026-02-04 18:04:32.676,51.781,640,23.31,67.6,17.8
2026-02-04 18:04:33.183,52.093,640,24.01,75.2,18.8
2026-02-04 18:04:33.686,51.687,640,24.79,58.2,19.0
2026-02-04 18:04:34.192,51.812,640,24.58,88.8,19.2
2026-02-04 18:04:34.696,52.093,640,23.43,86.4,19.1
2026-02-04 18:04:35.200,51.937,640,23.68,88.8,18.7
2026-02-04 18:04:35.704,52.187,640,24.00,89.5,20.8
2026-02-04 18:04:36.210,52.031,640,24.98,42.4,19.8
2026-02-04 18:04:36.714,51.937,640,24.04,48.7,18.8
2026-02-04 18:04:37.221,52.406,640,24.58,74.9,19.5
2026-02-04 18:04:37.725,52.218,640,24.58,48.9,20.5
2026-02-04 18:04:38.231,52.125,640,22.92,77.2,19.5
