timestamp,gpu_temperature,resolution,fps,gpu_load,cpu_load
1970-01-01 02:01:25.838,47.5,640,0.00,0.0,0.0
1970-01-01 02:01:26.341,47.468,640,0.00,15.3,32.8
1970-01-01 02:01:26.845,47.437,640,0.00,3.4,15.7
1970-01-01 02:01:27.348,47.531,640,0.00,14.3,15.8
1970-01-01 02:01:27.852,47.468,640,0.00,8.0,16.0
1970-01-01 02:01:28.356,47.593,640,0.00,10.2,14.0
1970-01-01 02:01:28.860,47.75,640,0.00,22.7,16.8
1970-01-01 02:01:29.363,47.687,640,0.00,43.3,16.6
1970-01-01 02:01:29.867,47.75,640,0.00,0.0,15.5
1970-01-01 02:01:30.370,47.593,640,0.00,42.2,11.1
1970-01-01 02:01:30.874,47.593,640,0.00,29.1,9.9
1970-01-01 02:01:31.377,47.75,640,0.00,3.1,11.5
1970-01-01 02:01:31.880,47.625,640,0.00,61.9,12.8
1970-01-01 02:01:32.383,47.843,640,18.57,87.9,21.3
1970-01-01 02:01:32.886,48.312,640,23.46,63.7,26.2
1970-01-01 02:01:33.392,48.343,640,23.67,57.0,19.6
1970-01-01 02:01:33.895,48.375,640,23.26,85.3,20.4
1970-01-01 02:01:34.403,48.5,640,23.39,76.7,19.7
1970-01-01 02:01:34.907,48.781,640,24.05,80.3,19.6
1970-01-01 02:01:35.414,48.468,640,24.50,95.4,17.3
1970-01-01 02:01:35.918,48.875,640,23.50,57.7,19.9
1970-01-01 02:01:36.424,48.718,640,24.40,59.8,18.9
1970-01-01 02:01:36.928,48.687,640,24.02,53.7,19.3
1970-01-01 02:01:37.433,48.593,640,24.67,58.6,18.6
1970-01-01 02:01:37.937,48.968,640,24.10,70.2,17.4
1970-01-01 02:01:38.442,48.75,640,22.84,58.0,18.3
1970-01-01 02:01:38.946,48.781,640,23.19,48.4,18.8
1970-01-01 02:01:39.452,48.781,640,23.88,57.2,18.3
1970-01-01 02:01:39.955,49.156,640,23.00,48.4,18.0
1970-01-01 02:01:40.462,49.0,640,24.46,53.7,18.0
1970-01-01 02:01:40.965,49.25,640,24.80,80.6,18.9
1970-01-01 02:01:41.471,49.218,640,24.32,80.6,18.4
1970-01-01 02:01:41.975,49.25,640,24.25,86.0,19.0
1970-01-01 02:01:42.481,49.218,640,24.32,89.7,19.9
1970-01-01 02:01:42.985,49.5,640,23.32,57.3,22.5
1970-01-01 02:01:43.492,49.312,640,23.00,73.7,19.9
1970-01-01 02:01:43.995,49.218,640,23.51,49.9,20.3
1970-01-01 02:01:44.501,49.562,640,23.99,57.3,19.2
1970-01-01 02:01:45.005,49.687,640,23.93,94.6,20.9
1970-01-01 02:01:45.511,49.5,640,24.63,88.6,18.9
1970-01-01 02:01:46.015,49.75,640,23.72,69.6,19.0
1970-01-01 02:01:46.522,49.687,640,23.20,91.1,18.8
1970-01-01 02:01:47.026,49.75,640,24.10,86.8,18.6
1970-01-01 02:01:47.532,49.562,640,23.69,94.6,18.4
1970-01-01 02:01:48.036,50.0,640,24.41,73.1,17.7
1970-01-01 02:01:48.542,50.187,640,24.23,93.7,18.7
1970-01-01 02:01:49.046,49.968,640,24.26,58.4,19.4
1970-01-01 02:01:49.551,49.875,640,24.48,60.0,18.7
1970-01-01 02:01:50.055,49.968,640,24.01,77.7,18.3
1970-01-01 02:01:50.561,50.343,640,23.72,68.4,18.3
1970-01-01 02:01:51.065,50.281,640,24.19,89.1,18.5
1970-01-01 02:01:51.571,50.156,640,23.90,89.5,18.2
1970-01-01 02:01:52.075,50.093,640,23.98,57.9,19.3
1970-01-01 02:01:52.582,50.187,640,23.02,31.2,20.9
1970-01-01 02:01:53.086,50.375,640,23.29,91.4,39.1
1970-01-01 02:01:53.589,50.656,640,21.77,60.0,33.5
1970-01-01 02:01:54.093,50.312,640,23.88,52.5,33.7
1970-01-01 02:01:54.597,50.75,640,21.94,68.1,36.2
1970-01-01 02:01:55.101,50.656,640,23.04,46.6,44.2
1970-01-01 02:01:55.604,50.531,640,22.71,64.5,31.2
1970-01-01 02:01:56.108,50.718,640,23.92,81.0,29.9
1970-01-01 02:01:56.613,51.0,640,23.43,63.8,29.9
1970-01-01 02:01:57.116,50.531,640,23.84,82.4,30.3
1970-01-01 02:01:57.619,50.625,640,23.44,90.0,30.5
1970-01-01 02:01:58.123,50.937,640,22.78,88.3,27.6
1970-01-01 02:01:58.626,50.843,640,23.71,59.1,19.1
1970-01-01 02:01:59.133,50.718,640,23.45,86.5,18.6
1970-01-01 02:01:59.637,50.687,640,23.41,73.9,22.1
1970-01-01 02:02:00.140,51.156,640,24.23,52.3,26.6
1970-01-01 02:02:00.643,50.781,640,23.76,67.4,18.9
1970-01-01 02:02:01.150,51.0,640,22.97,89.9,18.2
1970-01-01 02:02:01.654,50.812,640,22.87,67.4,18.3
1970-01-01 02:02:02.159,51.187,640,23.64,56.4,19.2
1970-01-01 02:02:02.663,51.062,640,22.56,75.0,20.0
1970-01-01 02:02:03.169,50.937,640,21.99,89.6,18.8
